0	16
1	36
2	47
3	54
4	34
5	60
6	64
7	64
8	44
9	64
10	11
11	61
12	65
13	53
14	53
15	42
16	45
17	47
18	60
19	63
20	38
21	26
22	67
23	38
24	56
25	53
26	54
27	58
28	33
29	57
30	64
31	65
32	58
33	20
34	33
35	44
36	65
37	62
38	17
39	61
40	57
41	59
42	0
43	38
44	10
45	63
46	61
47	53
48	63
49	56
50	37
51	49
52	60
53	52
54	58
55	52
56	62
57	62
58	62
59	39
60	55
61	60
62	39
63	59
64	60
65	44
66	55
67	61
68	63
69	0
70	65
71	56
72	53
73	65
74	65
75	53
76	50
77	28
78	60
79	62
80	33
81	25
82	62
83	62
84	68
85	17
86	15
87	57
88	0
89	58
90	49
91	3
92	23
93	61
94	42
95	55
96	63
97	61
98	69
99	60
100	60
101	63
102	58
103	62
104	63
105	45
106	57
107	57
108	63
109	70
110	36
111	52
112	25
113	62
114	61
115	71
116	21
117	21
118	43
119	52
120	60
121	8
122	59
123	57
124	13
125	40
126	55
127	1
